channel_id	signal	A_cavity	B_cavity	A_connector_mpn	A_channel_type	B_connector_mpn	B_channel_type
ch0	pos	pin	pin	GOALZERO_8MM_BARREL_PLUG	"(11, 'https://github.com/harnice/harnice')"	GOALZERO_8MM_BARREL_RECEPT	"(20, 'https://github.com/harnice/harnice')"
ch0	neg	ring	ring	GOALZERO_8MM_BARREL_PLUG	"(11, 'https://github.com/harnice/harnice')"	GOALZERO_8MM_BARREL_RECEPT	"(20, 'https://github.com/harnice/harnice')"
