channel	channel_type_id	compatible_channel_type_ids	signal	connector_name	connector_mpn	contact
out1	2	"['pos', 'neg']"	pos	J1	XLR3F	2
out1	2	"['pos', 'neg']"	neg	J1	XLR3F	3
out1-shield	5	['chassis']	shield	J1	XLR3F	1
